83853	2213	96428	60277	42947
37938	50115	92796	79186	51163
77353	8439	96208	15065	96066
4539	46526	12422	9659	53430
13306	3381	98355	60390	72430
23260	73481	55722	24968	52272
2708	25611	8170	80832	50406
71633	63369	61808	27572	81367
25239	12828	28900	54447	28320
77448	45386	22026	15072	70802
72430	99340	8885	5685	61101
88852	52595	69417	9720	17970
38697	41666	71378	62795	85183
18250	46898	93	53349	16604
99312	62205	26805	3143	12994
96321	76780	97260	3126	75125
31413	55599	93270	73890	15453
19647	99458	92464	4339	34243
31219	56023	95086	87050	47577
39553	16115	59063	42150	92947
71343	64254	30033	79426	77419
72080	65255	28743	69431	95152
637	60764	25593	29964	23961
18889	59187	40296	24486	46156
61469	51908	34189	96727	1457
34476	83444	93931	23541	87425
93463	8860	33771	24367	17139
16328	47770	55198	33047	13444
48240	3814	96460	96865	40429
15739	58635	65671	28550	59497
75351	56878	27386	45291	72813
95771	69624	27168	95254	53202
68464	23609	64596	98513	95906
61369	88265	60567	76490	63293
50981	69280	78699	60023	14669
81624	1350	18723	78886	5237
94857	75034	55857	34436	87355
82859	81943	62642	55714	82435
66762	25186	36004	2365	89367
74506	11121	3820	8303	13667
13089	24109	23854	35768	41107
30011	93732	98	70131	47161
59763	3907	11374	97974	31952
48848	41395	5909	24998	1195
73732	3802	81204	52451	36971
64020	5468	70766	50927	51535
79698	24659	60436	46820	75844
2382	86267	58150	92331	68204
96036	48581	34630	3387	65221
48514	23289	14711	82407	70002
1116	48713	46655	74403	59429
74551	62108	12130	69477	27633
20914	96677	38862	98647	60269
99315	62868	81642	57419	92197
48865	23301	33818	82616	65046
64943	97102	52652	26678	89133
37647	77517	11947	54056	85361
87311	8653	84445	42791	91777
9760	46790	27839	50243	33358
85081	64543	75915	87023	67188
59250	67463	95613	21514	29027
94932	41775	87545	78862	64622
77053	45917	45022	47123	19082
50426	36434	14247	87669	59568
34205	14006	53268	95129	79528
76488	43837	12115	14466	86133
46360	86441	7232	47652	61605
89469	8773	97195	25740	25149
78972	58265	70342	11839	50451
28359	32631	38114	21507	21863
11263	8355	55132	89925	21511
13856	21407	6544	96851	58487
61311	86636	63205	72362	19954
40839	12521	2523	41969	20239
47801	47514	52770	75855	41183
61234	56437	38029	91055	86087
79257	63760	3048	31430	40335
44173	82999	19047	92202	82348
97380	62147	45798	16062	40230
77158	37101	54315	85112	52566
19755	93191	63403	9219	39977
10009	46620	5245	58934	77654
40478	85937	91737	64052	69460
84328	56257	77327	14823	72617
4005	10026	51823	74453	27817
90589	89879	31739	22125	219
80829	35540	28636	98385	7585
79501	41445	58913	87339	8885
78010	81524	97466	26153	74320
89557	96580	11645	60566	21531
82430	80172	28345	21637	20405
34203	19404	25459	37850	1945
41019	57101	17280	76821	89803
85658	56153	12163	21426	73804
38770	1771	14413	71534	24001
61680	42982	94093	5187	65437
65344	75101	7084	228	90420
37111	49354	93839	41555	47420
71982	42713	24667	6550	36663
60940	9765	90627	26489	62646
47866	86273	74518	52960	92708
43623	61097	63021	4352	50759
46546	81174	43142	88282	96917
26916	35463	96191	63165	64334
29151	1717	79932	66621	93617
36910	96911	25719	85852	54291
37958	2706	71386	34282	11859
62146	20526	65917	72120	64283
58919	72717	24230	85233	93162
25476	88744	87745	51190	56643
90325	27815	92188	59511	64678
92892	20088	76218	58287	5112
48638	42882	3481	86910	96186
94614	29705	82361	94534	67773
77133	74427	62252	56203	90421
61048	14513	88177	17062	81722
57717	75105	34338	90732	69217
89236	87241	16427	17252	28775
87782	66415	17325	11704	78516
71774	49732	443	38352	30836
65589	56563	35407	45220	46978
61766	55259	3746	10881	40752
40618	77550	67410	98119	5096
69416	79414	21247	3545	29210
26309	79857	66821	89981	70685
38251	35586	57085	95268	79667
86857	20064	37062	91401	32427
28357	58974	50657	30128	22031
88569	59795	71885	25780	54756
688	25436	85836	26174	50389
12772	33453	89090	1526	66573
43018	2487	38380	18075	55482
92100	81630	10570	15292	8805
42235	31451	65050	37159	95460
81348	48327	8637	73810	89618
15245	69508	73401	51425	44859
56622	52337	22751	45013	91633
94257	20238	60768	24615	39806
88474	58086	49443	86106	85364
65282	91205	83643	86166	46948
68429	85455	65073	77133	13936
67890	43510	47469	90012	47515
4857	39594	83632	2971	65135
22902	34153	59764	56355	51792
57594	45820	88751	1222	72465
2076	47289	53693	95457	46084
98617	11999	6354	73688	62781
18553	72896	74304	18808	47524
45783	78778	62637	62267	49611
83558	54432	39904	64466	55979
48418	72503	86989	27879	37235
43677	39232	93923	32622	41643
50186	49058	60709	93180	94926
24018	38734	55	17726	32191
38203	36518	5955	77506	21893
1304	31471	63901	63389	39847
53920	12784	18552	21534	72603
43911	72869	28078	23126	10559
93477	11699	44901	9535	8578
34588	29226	72743	15820	24125
58742	38996	78131	34649	17586
86575	51141	17465	47997	59122
82941	95858	27451	4136	70636
34764	5082	37834	28237	5527
95832	49088	53836	98622	21866
74394	12854	15695	74276	41075
4868	58922	25546	81361	72882
36327	51650	84251	95923	4495
47897	18877	40378	13270	67378
82083	38224	97171	11173	85591
49669	87485	72373	90627	8417
10740	23485	576	74640	44136
29121	52443	85379	41156	29719
16065	9858	93370	98032	52213
1438	2464	33769	50638	57611
19794	82655	63666	55342	52220
97316	20923	95968	46880	39358
46039	10607	21878	83210	86113
30948	44091	87210	59788	36801
31908	31635	74938	4200	72026
52090	55350	3461	67671	97003
21823	90698	77830	65681	28976
71770	13705	68688	73441	4166
21853	34301	70197	50617	279
50624	76101	78697	6420	78339
51835	21524	11865	24987	42037
78969	65002	41315	61530	8816
34857	85790	799	18242	11970
71476	6678	58349	83396	5501
59890	71433	60466	14420	23180
72448	26378	7466	17864	53849
93715	29173	31623	72924	73050
84537	90082	18819	13700	31183
16647	22047	49926	79874	97851
6335	34511	80031	86526	70527
53593	61410	31195	8118	63943
58265	56813	3976	41968	82569
25507	77657	68162	40754	47782
32926	74855	18051	51165	35426
15606	51218	19040	97993	67859
