286075	267187	591215	967755	43743	77779	398046	86073	866990	515336
440137	1422	256371	841298	221421	547020	946094	505197	184547	313119
33956	556005	907986	461676	719672	903503	241113	109644	591884	858854
298544	185543	36686	   416774	49070	465054	168930	287586	525656	182685
563514	236345	669294	345155	702710	693196	461446	471812	210927	214170
116392	940714	779187	478777	967652	778645	786518	225895	383206	25011
913500	531068	932579	952774	378096	428268	157603	752338	2241	268984

368511	42774	777668	91061	585304	880607	837648	928658	867926	336477
65489	45681	810618	147132	486578	19450	236778	567605	354673	691826
298456	727720	677096	830266	632424    	854179	258758	688374	956984	677472
549976	220880	618598	995543	106924	634624	202320	464628	398808	840183
  700381	952032	483254	937243	918791    	194742	453137	563599	554495	899422
854123	259739	202127	2780	467855	975986	985170	115137	603021	12015
672147	582311	805028	589334	242856	308197	21921	267595	119877	716328
263633	57518	229610	509124	232730	693540	877204	72746	881491	77162
609418	443729	247863	351953	877838	296652	389668	762217	790853	199704
834792	745072	69435	251809	577642	32449	807639	403423	122183	756612
566274	376186	330601	713612	831619	977257	829214	201068	85220	17674


144917	648399	516082	243788	675353	942704	50655	580839	618448	695100
174634	160254	810336	710854	302027	927597	680975	584190	454561	932795
755153	210727	744449  	832489	159573	194354	965325	942361	608191	544591
241545	364603	452022	   924409	230862	756479	377144	897596	67090	683615
903748	873823	289870	246209	269238	766318	524267	330848	929859	806306
458269	313016	475346	806103	458811	864720	665398	792516	120613	634327
605436	747932	772120	812435	7795       948676	848660	437445	98552	508561
199286	737553	220132	860561	257362	499135	770663	121159	807263	185019


399695	136961	248362	506881	971113	963607	558715	191169	849396	342450
757286	220242	583643	851423	541808	604785	196288	623307	646100	520142
  265110	193803	349881	365923	25855	637827	344591	771050	24414	452053
795443	901249	269499	500022	955593    	91157	117863	118605	352503	760436
606594	917563	929683	34116	7205	550061	92104	378107	23545	115914
962899	480790	325291	662968	362418	441996	533633	440775	335079	384054
59452	502947	110919	635446	67414	576411	552660	720981	744099	673857

514820	477587	383419	326668	932433	368734	430143	618754	229955	766216
576002	908412	982667	795522	113866	355111	250086	945319	521965	333858
863791	677734	359565	755291	937080	787998	855751	388283	659738	741925
882396	713230	897200	846138	206889	136775	149579	808919	119955	520781
286582	46125	891121	395564	588477	482115	840731	530469	618642	885595
1072	830911	486678	387589	575676	118973	982382	660758	750942	266044
147990	552139	790975	483211	109092	537323	511093	433353	954757	474559
664303	551686	35930	572688	82253	501918	740200	358208	70243	837832
466272	981010	58488	161899	163735	174893	245942	577964	891173	234049

112442	34304	149763	905645	361143	664717	125416	315018	490252	841683
681485	240818	598782	384032	992936	773499	314280	752197	376724	427417
849308	568775	906534	134045	673529  	818075	123555	339249	683754	245332
52984	624498	758078	852530	413611	639157	96195	347682	146698	246322
667300	648344	620260	376467	336581	579851	9466	403664	53004	569609
222043	840172	376067	136136	476101	623504	736183	55049	335448	926522
536764	708926	583773	65824	889854	93825	795424	664811	480068	714677
962417	180302	499108	471155	451565	456237	604465	633994	918902	618630
121465	60442	43919	158738	900004	229123	258509	692957	204496	421013


642391	334230	892286	594358	537715	225549	617001	532114	124612	102276
426531	844878	427794	656657    	575874	791077	509463	852619	911708	907121
576502	349196	908785	941627	730192	312933	483498	876313	52359	998322
980509	668839	40403	440287	255548      	405309	123894	491775	292979	259171
551687	550951	689325	505563	610024	122221	910176	630150	673951	641575
294392	106355	238362	539697	312436	863983	247121	664698	855575	282926
217214	970918	413322	543352	473545	438185	764851	232276	577174	237679
195636	969259	935399	182832	712971	618862	27521	164793	198375	690128

917409	391588	400758	224228	627776	803144	616378	965517	590398	633677
237907	86630	558688	923095	431545	913449	426260	803761	22306	378858
329428	343166	268244	329786	672256	798323	247051	409368	907083	485583
485171	224929	26024	117891	461400	486704	296419	403601	738549	100278


898107	559209	942745	541690	132577	177383	916814	858048	47550	635798
  432309	811514	934313	518768	755358	545097	571273	570202	987098	567328
   473188	819481	106247	9979	743531	400236	583658	226840	313051	710137
197894	429526	844512	163640	134153	804373	782648	422420	919767	282606


131526	246786	100702	588887	213556	710758	336472	358951	453523	848184
950355	155921	201937	309377	975584	502529	900293	206855	541645	572952
482941	367450	40972	313294	135475	577335	847659	308136	942063	614749
          669752	235926	61864	961704	387880	80093	555197	690155	112703	793618
879542	563623	825847	144248	122343	718297	738822	377962	636271	861245
385160	526514	189232   	502084	310776	238090	18401	564635	729528	820841
129569     	977213	528680	471435	870759	215306	194265	899953	202222	946748
877943	544568	326573	557488	333912	386135	254678	290855	544321	309066



843676	403505	49306	559073	954879	313443	914959	347325	468199	428739
377606	220122	933404	690333	982341	573585	394515	643552	415401	951893
53709	352012	211198	992646	682557	580731	226578	528319	456153	384340
990972	268819	653013	466445	827519	633685	293403	170067	774828	381026

718137	430768	978573	188755	885725	713878 	914886	503104	650836	291749
745061	518562	13177	571721	557411	998261  	943618	433894	363744	486459
381603	539731	17950	94460	443504	681309	 640551	81397	839756	358683
478154	868465	360080	98123	771553	701433	395933	485182	498949	600596
938648	484615              	357731	199689	600707	317466	987441	709580	849665	362155
392305	704136	823892	493220	894118	39303	491151	709397	965586	169206

723899	72198	466130	807374	168776	808465	315557	122848	541381	947231
272023	922836	271839	581308	413663   	368792	183685	680757	332037	717216
852778	60139	969353	420963	93996	332655	120387	479518	754705	730178
218785	987736	415194	929288	251458	113703	905225	367314	649283	177422

410854	885893	612718	282603	731854	705049	271959	897642	750189	824490

355398	345103	47020	442059	907618	599301	199701	628322	159922	139961
639838	298755	151341	775238	726167	781653	815519	518587	854511	939473


785840	779214	73642	211673	516104	749572	892137	510355	906245	76560
819997	179019     	530732	340479	616628	911374	199697	811865	361689	129933
481007	979231	250689	445835	730582	705812	769704	588154	630835	938444
988836	778700	221957	915982	785188	987382	896785	908702	978590	436382
920648	284076	221695	356998	775656	841639	895234	26497	398521	630353
489941	848246	164654	647940	977084	410881	342935	35790	512122	418671

299014	921005	222978	995321	104828	447869	182257	470793	305107	376316
146045	653654	639563	182597	200343	788532	947422	76189	508185	855708
